,episode,speaker,speech,word_count
132,ep_1,CERSEI, I wanted those elephants.,4
133,ep_1,EURON," So, how do I compare to the fat king?",9
134,ep_1,CERSEI, You're insulting my late husband?,5
135,ep_1,EURON, Are you offended?,3
136,ep_1,CERSEI," Robert had a different whore every night, but he still didn't know his way around a woman's body.",18
137,ep_1,EURON, And the Kingslayer?,3
138,ep_1,CERSEI," You enjoy risking your neck, don't you?",7
139,ep_1,EURON, Life is boring.,3
140,ep_1,CERSEI," You're not boring, I'll give you that.",7
141,ep_1,EURON, Do I please the queen?,5
142,ep_1,CERSEI, You might be the most arrogant man I've ever met. I like that.,13
143,ep_1,CERSEI, But now I want to be alone.,7
144,ep_1,EURON, I'm going to put a prince in your belly.,9
145,ep_1,YARA, We can take our home back.,6
146,ep_1,THEON, Daenerys went north.,3
147,ep_1,YARA, Daenerys will need somewhere to retreat if they can't hold the North. Somewhere the dead can't go.,17
148,ep_1,THEON, You're my queen. I go where you command.,8
149,ep_1,YARA, You want to go to Winterfell. To fight for the Starks. Go. What is dead may never die.,18
150,ep_1,THEON, What is dead may never die.,6
151,ep_1,YARA, But kill the bastards anyway.,5
152,ep_1,WOLKAN," Welcome back, my lady. If you'd follow me",8
153,ep_1,VARYS, The Karstarks.,2
154,ep_1,TYRION," One of the better sigils. Beats an onion, anyway.",9
155,ep_1,DAVOS, Can't argue with that.,4
156,ep_1,DAVOS," Not so long ago, the Starks and the Karstarks were slaughtering each other on the battlefield. Jon Snow brought peace to the houses.",23
157,ep_1,TYRION, And our queen is grateful.,5
158,ep_1,DAVOS," Her gratitude is lovely, but that's not my point. The Northmen are loyal to Jon Snow, not to her. They don't know her. The Free Folk don't know her. I've been up here a while, and I'm telling you, they're stubborn as goats. You want their loyalty, you have to earn it.",52
159,ep_1,TYRION, I sense that you're leading to a proposal.,8
160,ep_1,DAVOS," A proposal is what I'm proposing. On the off chance that we survive the Night King, what if the Seven Kingdoms, for once in their whole shit history, were ruled by a just woman and an honorable man?",38
161,ep_1,TYRION, They do make a handsome couple.,6
162,ep_1,VARYS, You overestimate our influence. Jon and Daenerys don't want to listen to lonely old men.,15
163,ep_1,TYRION, I'm not that old.,4
164,ep_1,TYRION, Not as old as him.,5
165,ep_1,TYRION, Our queen respects the wisdom of age.,7
166,ep_1,VARYS," Of course she does. Respect is how the young keep us at a distance, so we don't remind them of an unpleasant truth.",23
167,ep_1,TYRION, What is that?,3
168,ep_1,VARYS, Nothing lasts.,2
169,ep_1,DAENERYS, Your sister doesn't like me.,5
170,ep_1,JON," She doesn't know you. If it makes you feel any better, she didn't like me either when we were growing up.",21
171,ep_1,DAENERYS, She doesn't need to be my friend but I am her queen. If she can't respect me-,17
172,ep_1,DAENERYS, The dragons are barely eating.,5
173,ep_1,JON, What's wrong with them?,4
174,ep_1,DAENERYS, They don't like the North.,5
175,ep_1,DAENERYS, Go on.,2
176,ep_1,JON, I don't know how to ride a dragon.,8
177,ep_1,DAENERYS, Nobody does. Until they ride a dragon.,7
178,ep_1,JON, What if he doesn't want me to?,7
179,ep_1,DAENERYS," Then I've enjoyed your company, Jon Snow.",7
180,ep_1,JON, What do I hold onto?,5
181,ep_1,DAENERYS, Whatever you can.,3
182,ep_1,JON, You've completely ruined horses for me.,6
183,ep_1,DAENERYS, We could stay a thousand years-,6
184,ep_1,DAENERYS, No one would find us.,5
185,ep_1,JON, We'd be pretty old.,4
186,ep_1,JON, It's cold up here for a southern girl.,8
187,ep_1,DAENERYS, So keep your queen warm.,5
188,ep_1,DAENERYS, Don't be afraid.,3
189,ep_1,GENDRY, It isn't easy making a blade that big with dragonglass.,10
190,ep_1,SANDOR," You're saying you're good, is that it?",7
191,ep_1,GENDRY, I'm just saying it's a tricky material to-,8
192,ep_1,SANDOR, You know who makes weapons for the wildlings? Cripples and cocksuckers. Which one are you?,15
193,ep_1,SANDOR, I heard you were here. You left me to die.,10
194,ep_1,ARYA, First I robbed you.,4
195,ep_1,SANDOR," You're a cold little bitch, aren't you? Guess that's why you're still alive.",13
196,ep_1,ARYA, That was a nice ax you made for him. You've gotten better.,12
197,ep_1,GENDRY," Yeah, thanks. So have you.",5
198,ep_1,GENDRY," I mean, you look good.",5
199,ep_1,ARYA, Thanks. So do you.,4
200,ep_1,GENDRY," It's not a bad place to grow up, if it wasn't so cold.",13
201,ep_1,ARYA," Stay close to that forge, then.",6
202,ep_1,GENDRY," Is that a command, Lady Stark?",6
203,ep_1,ARYA, Don't call me that.,4
204,ep_1,GENDRY," As you wish, milady.",4
205,ep_1,ARYA, Here's my wish.,3
206,ep_1,ARYA, Can you make it?,4
207,ep_1,GENDRY, What do you need something like this for?,8
208,ep_1,ARYA, Can you make it or not?,6
209,ep_1,GENDRY, You already have a sword. What's that?,7
210,ep_1,GENDRY, It's Valyrian steel. I always knew you were just another rich girl.,12
211,ep_1,ARYA, You don't know any other rich girls.,7
212,ep_1,SANSA, Come in.,2
213,ep_1,SANSA," Lord Glover wishes us good fortune, but he's staying in Deepwood Motte with his men.",15
214,ep_1,JON," ""House Glover will stand behind House Stark as we have for a thousand years."" Isn't that what he said?",19
215,ep_1,SANSA," ""I will stand behind Jon Snow,"" he said.",8
216,ep_1,SANSA," ""The King in the North.""",5
217,ep_1,JON, I told you we needed allies.,6
218,ep_1,SANSA, You didn't tell me you were going to abandon your crown.,11
219,ep_1,JON," I never wanted a crown. All I wanted was to protect the North. I brought two armies home with me, two dragons.",22
220,ep_1,SANSA, And a Targaryen queen.,4
221,ep_1,JON," Do you think we can beat the Army of the Dead without her? I fought them, Sansa. Twice. You want to worry about who holds what title, I'm telling you it doesn't matter. Without her, we don't stand a chance.",40
222,ep_1,JON, Do you have any faith in me at all?,9
